id_szkoly,id_ucznia,pomiar,grupa,mat_1,mat_2,mat_3,mat_4,mat_5,mat_6,mat_7,mat_8,mat_9,mat_10,mat_11,mat_12,mat_13,mat_14,mat_15,mat_16,mat_17,mat_18,mat_19,mat_20,mat_21,mat_22,mat_23,mat_24,mat_25,mat_26,mat_27,mat_28,mat_29,mat_30,mat_31,mat_33,mat_34,mat_35,mat_36,mat_37,mat_38,mat_39,mat_40,mat_41,mat_42,mat_43,mat_44,mat_45,mat_46,mat_47,mat_32,mat_48
113,2157549,1,0,,,,,,,,,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,,,,,,,,,0,1,0,0,0,1,0,0,,,,,,,,0,
113,2157561,2,0,1,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,1,1,1,0,1,0,1,1,,,,,,,,,0,0,0,0,1,1,1,,1
113,2157521,1,0,,,,,,,,,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,,,,,,,,,1,1,1,0,0,0,1,1,,,,,,,,0,
113,2157549,2,0,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,1,0,0,0,0,0,1,0,,,,,,,,,0,0,1,0,0,1,1,,0
113,2157561,1,0,,,,,,,,,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,,,,,,,,,0,1,1,0,1,0,1,1,,,,,,,,0,
113,2157535,2,0,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,1,1,1,1,0,1,1,1,,,,,,,,,1,1,1,0,0,1,0,,1
113,2157575,2,0,1,1,0,0,1,0,1,1,,,,,,,,,,,,,,,,1,1,1,0,0,0,1,1,,,,,,,,,1,1,0,1,0,0,1,,1
113,2157521,2,0,1,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,1,,,,,,,,,0,1,0,0,1,0,1,,0
114,2157478,1,1,,,,,,,,,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,,,,,,,,,1,1,1,1,1,0,1,0,,,,,,,,0,
114,2157506,2,1,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,1,0,1,0,0,0,1,1,,,,,,,,,0,1,0,0,0,0,1,,0
114,2157478,2,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,1,1,1,1,0,1,1,1,,,,,,,,,0,1,0,0,1,0,1,,0
114,2157506,1,1,,,,,,,,,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,0,
114,2157492,1,1,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,,,,,,,,,1,1,0,1,0,1,0,1,,,,,,,,0,
114,2157492,2,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,1,0,1,0,1,1,0,,1
114,2157464,1,1,,,,,,,,,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,0,
114,2157420,1,1,,,,,,,,,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,,,,,,,,,1,1,1,1,0,1,0,0,,,,,,,,1,
114,2157420,2,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,1,0,0,1,0,1,0,,,,,,,,,0,0,0,0,0,1,0,,0
114,2157464,2,1,1,1,0,0,0,1,1,0,,,,,,,,,,,,,,,,1,1,0,0,1,0,1,1,,,,,,,,,0,1,0,0,0,1,0,,0
115,2157273,1,1,,,,,,,,,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,,,,,,,,,1,0,0,1,0,1,1,0,,,,,,,,0,
115,2157287,1,1,,,,,,,,,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,,,,,,,,,0,0,1,0,0,0,0,0,,,,,,,,0,
115,2157273,2,1,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,0,0,1,0,1,0,0,1,,,,,,,,,0,1,0,0,0,0,0,,0
115,2157215,1,1,,,,,,,,,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,,,,,,,,,1,0,1,1,1,1,1,0,,,,,,,,1,
115,2157301,1,1,,,,,,,,,1,1,0,0,0,1,0,0,0,1,1,0,1,1,1,,,,,,,,,0,0,0,0,0,0,0,1,,,,,,,,0,
115,2157229,1,1,,,,,,,,,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,,,,,,,,,0,0,1,1,0,0,1,0,,,,,,,,1,
115,2157301,2,1,0,1,1,0,0,1,1,0,,,,,,,,,,,,,,,,0,1,1,0,0,0,1,0,,,,,,,,,0,1,0,0,0,1,0,,0
115,2157287,2,1,0,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,1,,,,,,,,,0,1,0,1,1,0,0,,0
115,2157259,2,1,0,0,1,0,0,1,0,0,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,1,,,,,,,,,1,1,0,0,0,0,0,,0
115,2157259,1,1,,,,,,,,,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,,,,,,,,,1,1,1,0,0,0,1,1,,,,,,,,0,
115,2157215,2,1,0,1,1,0,0,1,1,0,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,1,,,,,,,,,1,1,1,1,0,0,1,,1
115,2157243,1,1,,,,,,,,,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,1,
115,2157229,2,1,0,1,1,0,0,1,0,0,,,,,,,,,,,,,,,,1,0,1,0,0,0,1,1,,,,,,,,,0,0,0,0,0,1,0,,0
115,2157243,2,1,0,0,1,0,1,1,1,0,,,,,,,,,,,,,,,,1,0,1,0,1,1,1,1,,,,,,,,,0,0,0,1,1,1,0,,1
116,2157020,2,1,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,1,1,1,1,1,0,1,1,,,,,,,,,1,1,1,0,0,0,0,,1
116,2157006,1,1,,,,,,,,,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,,,,,,,,,0,0,1,1,0,1,1,0,,,,,,,,1,
116,2157006,2,1,0,1,1,1,0,0,0,1,,,,,,,,,,,,,,,,1,1,0,0,1,0,1,1,,,,,,,,,1,1,1,1,1,1,0,,1
116,2157034,1,1,,,,,,,,,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,,,,,,,,,0,0,0,0,0,0,1,0,,,,,,,,0,
116,2156992,2,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,1,1,1,1,1,0,1,1,,,,,,,,,1,1,1,0,0,1,0,,1
116,2157020,1,1,,,,,,,,,1,0,1,0,1,0,0,1,0,0,1,0,1,1,1,,,,,,,,,1,0,1,1,1,1,0,0,,,,,,,,1,
116,2157096,2,1,0,0,1,1,0,1,0,0,,,,,,,,,,,,,,,,1,1,1,0,1,0,1,1,,,,,,,,,1,1,0,1,0,1,1,,0
116,2157060,1,1,,,,,,,,,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,,,,,,,,,1,0,0,0,0,1,0,1,,,,,,,,1,
116,2157060,2,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,0,0,1,0,1,0,1,1,,,,,,,,,0,1,0,1,1,1,1,,1
116,2157096,1,1,,,,,,,,,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,,,,,,,,,0,0,0,1,1,1,0,0,,,,,,,,0,
116,2157034,2,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,1,1,0,1,0,0,0,,,,,,,,,0,0,0,0,0,0,0,,1
116,2157110,1,1,,,,,,,,,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,,,,,,,,,0,0,0,0,0,0,1,0,,,,,,,,0,
116,2157110,2,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,0,0,1,0,0,0,1,1,,,,,,,,,0,0,0,0,0,0,0,,0
116,2157046,1,1,,,,,,,,,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,1,
116,2157046,2,1,0,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,,,,,,,,,0,1,1,0,0,1,1,,0
116,2156992,1,1,,,,,,,,,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,,,,,,,,,1,1,0,1,1,0,1,0,,,,,,,,0,
120,2205278,2,0,1,1,1,1,1,0,1,1,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,1,1,1,1,1,1,1,,0
120,2205354,2,0,0,0,1,1,0,1,0,0,,,,,,,,,,,,,,,,1,1,0,1,0,0,1,1,,,,,,,,,1,1,0,0,0,1,1,,1
120,2205354,1,0,,,,,,,,,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,,,,,,,,,1,1,1,0,0,0,1,1,,,,,,,,0,
120,2205200,2,0,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,1,1,1,1,1,0,1,1,,,,,,,,,1,1,0,1,0,1,1,,1
120,2205320,1,0,,,,,,,,,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,,,,,,,,,0,1,0,0,1,1,1,1,,,,,,,,0,
120,2205214,1,0,,,,,,,,,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,,,,,,,,,0,1,1,0,0,0,1,0,,,,,,,,1,
120,2205228,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,1,0,0,0,0,0,,0
120,2205250,2,0,1,1,1,1,1,1,0,1,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,1,1,1,0,1,1,1,,1
120,2205292,2,0,0,1,0,1,0,1,1,1,,,,,,,,,,,,,,,,1,1,1,0,0,0,1,1,,,,,,,,,0,0,0,0,1,1,1,,0
120,2205334,2,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,1,1,1,0,0,0,1,1,,,,,,,,,1,0,0,0,0,1,1,,0
120,2205334,1,0,,,,,,,,,1,0,0,1,0,1,1,1,0,0,1,0,1,0,1,,,,,,,,,0,0,0,0,0,1,1,0,,,,,,,,0,
120,2205200,1,0,,,,,,,,,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,,0,1,1,0,1,0,1,1,,,,,,,,1,
120,2205306,1,0,,,,,,,,,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,,,,,,,,,0,1,1,0,1,1,1,1,,,,,,,,0,
120,2205382,1,0,,,,,,,,,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,1,
120,2205228,1,0,,,,,,,,,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,1,
120,2205292,1,0,,,,,,,,,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,,,,,,,,,0,1,0,0,1,1,1,1,,,,,,,,0,
120,2205320,2,0,1,0,0,1,1,1,1,1,,,,,,,,,,,,,,,,1,1,1,0,0,0,1,1,,,,,,,,,0,0,1,1,0,1,1,,0
